,close
732,-1.9967054828227895
733,-1.9967054828227895
734,-1.9967054828227895
735,-1.992580238909295
736,-1.992580238909295
737,-1.992580238909295
738,-1.992580238909295
739,-1.992580238909295
740,-1.992580238909295
741,-1.9967054828227895
742,-1.9967054828227895
743,-1.992580238909295
744,-1.992580238909295
745,-1.992580238909295
746,-1.9884549949957995
747,-1.992580238909295
748,-1.9884549949957995
749,-1.9884549949957995
750,-1.9796151866097396
751,-1.9796151866097396
752,-1.9796151866097396
753,-1.9754899426962442
754,-1.9796151866097396
755,-1.9796151866097396
756,-1.9796151866097396
757,-1.9796151866097396
758,-1.9754899426962442
759,-1.983740430523234
760,-1.983740430523234
761,-1.983740430523234
762,-1.9884549949957995
763,-1.9796151866097396
764,-1.9884549949957995
765,-1.9884549949957995
766,-1.992580238909295
767,-1.9884549949957995
768,-1.983740430523234
769,-1.9884549949957995
770,-1.9884549949957995
771,-1.9884549949957995
772,-1.9884549949957995
773,-1.983740430523234
774,-1.9754899426962442
775,-1.9796151866097396
776,-1.9796151866097396
777,-1.9796151866097396
778,-1.9796151866097396
779,-1.9796151866097396
780,-1.9796151866097396
781,-1.9754899426962442
782,-1.9754899426962442
783,-1.9754899426962442
784,-1.9754899426962442
785,-1.9754899426962442
786,-1.9796151866097396
787,-1.9754899426962442
788,-1.9796151866097396
789,-1.9796151866097396
790,-1.9796151866097396
791,-1.983740430523234
792,-1.9796151866097396
793,-1.9796151866097396
794,-1.9796151866097396
795,-1.9796151866097396
796,-1.9796151866097396
797,-1.9796151866097396
798,-1.9796151866097396
799,-1.983740430523234
800,-1.9796151866097396
801,-1.9796151866097396
802,-1.9796151866097396
803,-1.9796151866097396
804,-1.9796151866097396
805,-1.9796151866097396
806,-1.9796151866097396
807,-1.9796151866097396
808,-1.9754899426962442
809,-1.9796151866097396
810,-1.9796151866097396
811,-1.983740430523234
812,-1.9796151866097396
813,-1.9796151866097396
814,-1.9754899426962442
815,-1.9754899426962442
816,-1.9754899426962442
817,-1.9754899426962442
818,-1.9796151866097396
819,-1.9796151866097396
820,-1.9796151866097396
821,-1.9796151866097396
822,-1.983740430523234
823,-1.9796151866097396
824,-1.9796151866097396
